Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
355,Kamatsu,Kokura,Kokura Province,Yugure,Empire of Yugure,Shin,Pelor,towns,5197,997.3,401.79,-15.12,82.23,81,26°C,Jakarta (Indonesia),,,citadel,,plaza,,,{t1:sable;charges:[{charge:dragonRampant;t:or;p:e;t2:or;t3:or;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Kamatsu&population=5197&size=24&seed=8820546000355&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
356,Asam,Liyah,Liyah Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,4460,1190.6,438.05,-24.61,132.81,16,24°C,Dakar (Senegal),,,,,plaza,,,{t1:sable;charges:[{charge:scrollClosed;t:or;p:e;t2:or;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Asam&population=4460&size=23&seed=8820546000356&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
357,Menerorovi,Lautokeria,Lautokeria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Selûne,towns,8708,277.36,449.33,-27.56,-106.13,25,23°C,Rio de Janeiro (Brazil),,,,,,,,{t1:vert;charges:[{charge:pincers;t:argent;p:e;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Menerorovi&population=8708&size=29&seed=8820546000357&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
358,Borgslivik,Kansveria,Kansveria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,towns,10308,485.22,454.61,-28.94,-51.75,64,21°C,Tegucigalpa (Honduras),,port,citadel,,plaza,,,{t1:argent;charges:[{charge:ladybird;t:purpure;p:e;t2:sable;t3:gules;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Borgslivik&population=10308&size=31&seed=8820546000358&river=0&coast=1&farms=0&citadel=1&urban_castle=1&hub=1&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=0.05
359,Utset,Hvolsda,Hvolsda Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,towns,838,585.1,505.6,-42.28,-25.61,49,15°C,Rome (Italy),,,,,plaza,,,{t1:gules;division:{division:perCross;t:or;line:straight};charges:[{charge:bullHeadCaboshed;t:argent;p:j;t2:argent;size:0.6};{charge:cavalier;t:purpure;p:l;size:0.6};{charge:crossCeltic2;t:azure;p:m;size:0.6};{charge:cowHorns;t:or;p:o;size:0.6}];shield:spanish},https://watabou.github.io/city-generator/?name=Utset&population=838&size=12&seed=8820546000359&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
360,Kjellisvog,Lautokeria,Lautokeria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Selûne,towns,4095,287.06,514.43,-44.59,-103.59,256,10°C,London (England),,,,walls,plaza,,,{t1:argent;ordinaries:[{ordinary:pale;t:purpure;line:straight}];charges:[{charge:centaur;t:or;p:beh;t2:or;t3:purpure;size:0.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Kjellisvog&population=4095&size=22&seed=8820546000360&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
361,Lonsvika,Lautokeria,Lautokeria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Selûne,towns,6497,305.52,515.05,-44.75,-98.76,441,9°C,Copenhagen (Denmark),,,citadel,,plaza,,,{t1:fusily-argent-gules-small;charges:[{charge:estoile;t:sable;p:e;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Lonsvika&population=6497&size=26&seed=8820546000361&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
362,Feroyrika,Hvolsda,Hvolsda Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,towns,1850,607.8,531.4,-49.03,-19.68,25,10°C,London (England),,,,,,,,{t1:argent;division:{division:perFess;t:azure;line:straight};charges:[{charge:crossArrowed;t:gules;p:k;size:0.7};{charge:angel;t:or;p:n;size:0.7}];shield:spanish},https://watabou.github.io/city-generator/?name=Feroyrika&population=1850&size=16&seed=8820546000362&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
363,Dobernaudens,Neuchsia,Neuchsia Province,Nosland,United Kingdom of Nosland,Weisin,Pelor,towns,11725,509.58,129.92,56.01,-45.37,9,-2°C,Fairbanks (Alaska),,,,,plaza,,,{t1:sable;ordinaries:[{ordinary:pale;t:argent;line:nebuly}];charges:[{charge:badgerStatant;t:vert;p:e;t2:argent;size:0.7}];shield:pavise},https://watabou.github.io/city-generator/?name=Dobernaudens&population=11725&size=33&seed=8820546000363&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
364,Yoro,Shinawa,Shinawa Province,Yugure,Empire of Yugure,Shin,Pelor,towns,851,718.03,126.64,56.87,9.17,16,-2°C,Fairbanks (Alaska),,,,,plaza,,,{t1:argent;division:{division:chevronny;t:purpure};ordinaries:[{ordinary:bordure;t:azure}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Yoro&population=851&size=12&seed=8820546000364&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
365,Fuchuni,Shinawa,Shinawa Province,Yugure,Empire of Yugure,Shin,Pelor,towns,1009,797.11,134.3,54.86,29.86,4,-2°C,Fairbanks (Alaska),,,,,plaza,,,{t1:or;charges:[{charge:mulletPierced;t:gules;p:e;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Fuchuni&population=1009&size=13&seed=8820546000365&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
366,Hochesen,Neuchsia,Neuchsia Province,Nosland,United Kingdom of Nosland,Weisin,Mystra,towns,5644,504.2,141.95,52.86,-46.78,81,0°C,Murmansk (Russia),,,citadel,,plaza,,,{t1:vert;ordinaries:[{ordinary:saltire;t:or;line:wavy}];charges:[{charge:stagPassant;t:purpure;p:jlemo;t2:purpure;size:0.4}];shield:pavise},https://watabou.github.io/city-generator/?name=Hochesen&population=5644&size=25&seed=8820546000366&river=1&coast=0&farms=0&citadel=1&urban_castle=1&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
367,Ashinawa,Kayawaga,Kayawaga Prefecture,Yugure,Empire of Yugure,Shin,Pelor,towns,2442,880,142.7,52.67,51.54,16,0°C,Murmansk (Russia),,,,,plaza,,,{t1:purpure;charges:[{charge:cavalier;t:or;p:e;t2:or;t3:argent;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Ashinawa&population=2442&size=18&seed=8820546000367&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
368,Kyoto,Sarajira,Sarajira Province,Yugure,Empire of Yugure,Shin,Pelor,towns,916,1110.9,140.8,53.16,111.96,16,0°C,Murmansk (Russia),,,,,plaza,,,{t1:bendy-argent-azure-smaller;charges:[{charge:pique;t:purpure;p:e;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Kyoto&population=916&size=13&seed=8820546000368&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
369,Rustten,Neuchsia,Neuchsia Province,Nosland,United Kingdom of Nosland,Weisin,Mystra,towns,2973,452.35,148.4,51.17,-60.35,49,1°C,Arkhangelsk (Russia),,,,walls,,,,{t1:purpure;charges:[{charge:greyhoundCourant;t:or;p:e;t2:argent;t3:or;size:1.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Rustten&population=2973&size=20&seed=8820546000369&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
370,Bieier,Neuchsia,Neuchsia Province,Nosland,United Kingdom of Nosland,Weisin,Mystra,towns,3942,539.99,150.89,50.52,-37.42,9,1°C,Arkhangelsk (Russia),,,,walls,plaza,,,{t1:sable;division:{division:perFess;t:argent;line:wavy};charges:[{charge:estoile;t:or;p:e;divided:counter;size:1.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Bieier&population=3942&size=22&seed=8820546000370&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
371,Himi,Kanu,Kanu Province,Yugure,Empire of Yugure,Shin,Pelor,towns,21146,1096.23,174,44.48,108.12,81,3°C,Tromsø (Norway),,port,,walls,plaza,,,{t1:gules;division:{division:gyronny;t:argent};charges:[{charge:pique;t:or;p:e;divided:counter;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Himi&population=21146&size=41&seed=8820546000371&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural&sea=0.99
372,Yusekomake,Kanu,Kanu Province,Yugure,Empire of Yugure,Shin,Pelor,towns,1405,1140.79,167.95,46.06,119.78,81,3°C,Tromsø (Norway),,port,,walls,plaza,,,{t1:barry-or-purpure;charges:[{charge:lochaberAxe;t:sable;p:e;t2:sable;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Yusekomake&population=1405&size=15&seed=8820546000372&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural&sea=1.9
373,Tachiata,Shinawa,Shinawa Province,Yugure,Empire of Yugure,Shin,Pelor,towns,10943,722.04,179.1,43.14,10.21,100,6°C,Stockholm (Sweden),,,citadel,,,,,{t1:or;ordinaries:[{ordinary:pallReversed;t:azure}];charges:[{charge:pique;t:argent;p:bemo;size:0.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Tachiata&population=10943&size=32&seed=8820546000373&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
374,Sastadtten,Neuchsia,Neuchsia Province,Nosland,United Kingdom of Nosland,Weisin,Pelor,towns,16171,530.57,189.6,40.4,-39.88,81,8°C,Prague (Czechia),,,,walls,plaza,,,{t1:or;division:{division:perCross;t:purpure;line:indented};charges:[{charge:mallet;t:azure;p:jlmo;t2:gules;divided:counter;size:0.6}];shield:pavise},https://watabou.github.io/city-generator/?name=Sastadtten&population=16171&size=37&seed=8820546000374&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
375,Todtter,Neuchsia,Neuchsia Province,Nosland,United Kingdom of Nosland,Weisin,Pelor,towns,4153,569.52,186.63,41.17,-29.69,81,8°C,Prague (Czechia),,,,,,,,{t1:gules;charges:[{charge:ratRampant;t:or;p:e;t2:or;size:1.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Todtter&population=4153&size=22&seed=8820546000375&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
376,Tsuji,Shifu,Shifu District,Yugure,Empire of Yugure,Shin,Pelor,towns,3031,937.02,187.63,40.91,66.46,36,9°C,Copenhagen (Denmark),,,,,,,,{t1:argent;ordinaries:[{ordinary:cross;t:azure;line:straight}];charges:[{charge:pillar;t:argent;p:beh;size:0.3}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Tsuji&population=3031&size=20&seed=8820546000376&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
377,Schweden,Neuchsia,Neuchsia Province,Nosland,United Kingdom of Nosland,Weisin,Mystra,towns,1558,559.35,200.19,37.62,-32.35,49,10°C,London (England),,,,,plaza,,,{t1:gules;ordinaries:[{ordinary:cross;t:or;line:straight}];charges:[{charge:saw;t:azure;p:e;t2:azure;size:0.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Schweden&population=1558&size=15&seed=8820546000377&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
378,Fuse,Shinawa,Shinawa Province,Yugure,Empire of Yugure,Shin,Pelor,towns,7184,764.32,195.5,38.85,21.28,16,10°C,London (England),,,,,plaza,,,{t1:palyBendy-argent-azure;ordinaries:[{ordinary:chief;t:sable;line:straight}];charges:[{charge:bearRampant;t:or;p:abc;t2:or;t3:vert;size:0.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Fuse&population=7184&size=27&seed=8820546000378&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
379,Ripen,Neuchsia,Neuchsia Province,Nosland,United Kingdom of Nosland,Weisin,Pelor,towns,2719,585.02,212.33,34.45,-25.64,81,12°C,Paris (France),,,,,plaza,,,{t1:purpure;division:{division:perPale;t:argent;line:straight};charges:[{charge:bookClosed;t:or;p:jl;t2:or;t3:or;divided:counter;size:0.7}];shield:pavise},https://watabou.github.io/city-generator/?name=Ripen&population=2719&size=19&seed=8820546000379&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
380,Hashigashi,Shinawa,Shinawa Province,Yugure,Empire of Yugure,Shin,Pelor,towns,33287,728.49,214.22,33.95,11.9,25,13°C,Milan (Italy),,port,citadel,,plaza,,,{t1:or;charges:[{charge:armillarySphere;t:azure;p:e;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Hashigashi&population=33287&size=49&seed=8820546000380&river=0&coast=1&farms=0&citadel=1&urban_castle=1&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=1.48
381,Banbu,Tokani,Tokani Prefecture,Yugure,Empire of Yugure,Shin,Pelor,towns,14379,802.71,205.35,36.27,31.32,225,12°C,Paris (France),,port,citadel,walls,plaza,,shanty town,{t1:or;division:{division:perCross;t:azure;line:straight};ordinaries:[{ordinary:bordure;t:purpure}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Banbu&population=14379&size=36&seed=8820546000381&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=1&plaza=1&greens=1&temple=0&walls=1&shantytown=1&style=natural&sea=0.81
382,Naka,Kanu,Kanu Province,Yugure,Empire of Yugure,Shin,Pelor,towns,1488,1087.06,244.74,25.97,105.72,100,17°C,Lisbon (Portugal),,port,,,,,,{t1:argent;division:{division:perFess;t:azure;line:straight};ordinaries:[{ordinary:gore;t:gules;divided:counter}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Naka&population=1488&size=15&seed=8820546000382&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.48
383,Nishizuse,Kama,Kama Province,Yugure,Empire of Yugure,Shin,Pelor,towns,5525,1072.71,252.85,23.85,101.96,196,20°C,Alexandria (Egypt),,port,,,,,,{t1:azure;charges:[{charge:drawingCompass;t:argent;p:abc;size:0.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Nishizuse&population=5525&size=25&seed=8820546000383&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.92
384,Shikakune,Nisho,Korika Province,Yugure,Empire of Yugure,Shin,Pelor,towns,5532,788.25,263.66,21.02,27.54,196,23°C,Rio de Janeiro (Brazil),,port,,,plaza,,,{t1:purpure;charges:[{charge:unicornRampant;t:or;p:e;t2:or;t3:argent;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Shikakune&population=5532&size=25&seed=8820546000384&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=0.82
385,Kara,Mitonohe,Mitonohe Prefecture,Yugure,Empire of Yugure,Shin,Pelor,towns,13471,885.36,266.94,20.16,52.95,676,20°C,Alexandria (Egypt),,,,,plaza,,,{t1:argent;charges:[{charge:trianglePierced;t:azure;p:acegi;size:0.4}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Kara&population=13471&size=35&seed=8820546000385&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
386,Shikaiku,Nishiwa,Nishiwa Province,Yugure,Empire of Yugure,Shin,Pelor,towns,9821,1023,284.7,15.51,88.96,49,27°C,Mogadishu (Somalia),,,citadel,,plaza,,,{t1:argent;ordinaries:[{ordinary:fess;t:azure;line:dancetty}];charges:[{charge:bell;t:sable;p:abc;t2:sable;size:0.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Shikaiku&population=9821&size=31&seed=8820546000386&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
387,Konan,Kama,Kama Province,Yugure,Empire of Yugure,Shin,Pelor,towns,12774,1071.53,277.44,17.41,101.65,25,27°C,Mogadishu (Somalia),,,,,plaza,,,{t1:gules;division:{division:perChevron;t:argent;line:dentilly};charges:[{charge:boarRampant;t:or;p:dfbh;t2:or;t3:or;divided:counter;size:0.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Konan&population=12774&size=34&seed=8820546000387&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
388,Kaika,Kobe,Kobe Prefecture,Yugure,Empire of Yugure,Shin,Pelor,towns,12638,827.56,347.68,-0.96,37.82,25,29°C,Niamey (Niger),,port,citadel,,plaza,,,{t1:fusily-or-purpure;ordinaries:[{ordinary:pale;t:sable;line:straight}];charges:[{charge:mullet;t:argent;p:e;size:0.7}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Kaika&population=12638&size=34&seed=8820546000388&river=0&coast=1&farms=0&citadel=1&urban_castle=1&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=1.51
389,Nawawamohe,Kokura,Kokura Province,Yugure,Empire of Yugure,Shin,Pelor,towns,7420,1010.1,361.67,-4.62,85.58,484,26°C,Jakarta (Indonesia),,,,,plaza,,,{t1:argent;charges:[{charge:pike;t:vert;p:e;t2:vert;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Nawawamohe&population=7420&size=28&seed=8820546000389&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
390,Jilaafeer,Bisqah,Bisqah Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,3729,1064.7,363.13,-5,99.87,289,27°C,Mogadishu (Somalia),,port,,,plaza,,,{t1:vert;charges:[{charge:fasces;t:argent;p:e;t2:argent;t3:or;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Jilaafeer&population=3729&size=21&seed=8820546000390&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=0.94
391,Feldsaunin,,,Nosland,United Kingdom of Nosland,Weisin,Tyr,towns,2316,219.11,392.44,-12.67,-121.37,4,28°C,Bangkok (Thailand),,,,,plaza,,,{t1:or;charges:[{charge:rapier;t:purpure;p:e;t2:purpure;size:1.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Feldsaunin&population=2316&size=18&seed=8820546000391&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
392,Mostad,Krist,Krist Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,No religion,towns,14348,651.32,395.12,-13.37,-8.29,324,26°C,Jakarta (Indonesia),,port,,,plaza,,,{t1:sable;charges:[{charge:anchor;t:or;p:e;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Mostad&population=14348&size=35&seed=8820546000392&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=0.06
393,Vopeid,Kansveria,Kansveria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Tyr,towns,16128,441,399.55,-14.53,-63.32,169,26°C,Jakarta (Indonesia),,,,,plaza,,,{t1:argent;division:{division:perCross;t:azure;line:nebuly};charges:[{charge:frog;t:purpure;p:e;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Vopeid&population=16128&size=37&seed=8820546000393&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
394,Qamrah,Bisqah,Bisqah Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,2198,1112.66,399.96,-14.64,112.42,169,26°C,Jakarta (Indonesia),,port,,,plaza,,,{t1:argent;charges:[{charge:unicornRampant;t:purpure;p:e;t2:purpure;t3:sable;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Qamrah&population=2198&size=17&seed=8820546000394&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=1.06
395,Olstad,Krist,Krist Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,towns,1138,546.41,414.88,-18.54,-35.74,121,26°C,Jakarta (Indonesia),,,,,plaza,,,{t1:purpure;charges:[{charge:cannon;t:argent;p:e;t2:argent;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Olstad&population=1138&size=14&seed=8820546000395&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
396,Koyale,Krist,Krist Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,towns,5366,648.1,438.5,-24.72,-9.13,225,23°C,Rio de Janeiro (Brazil),,,,walls,plaza,,,{t1:vert;charges:[{charge:falcon;t:argent;p:e;t2:or;t3:argent;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Koyale&population=5366&size=24&seed=8820546000396&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
397,Fadh,Liyah,Liyah Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,2686,1203.4,454,-28.78,136.16,9,23°C,Rio de Janeiro (Brazil),,,,,plaza,,,{t1:or;charges:[{charge:bell;t:azure;p:abc;t2:azure;size:0.5}];shield:roman},https://watabou.github.io/city-generator/?name=Fadh&population=2686&size=19&seed=8820546000397&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
398,Lolafsfjor,Hvolsda,Hvolsda Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,towns,13332,498.1,464.78,-31.6,-48.38,36,19°C,Marrakesh (Morocco),,port,citadel,,plaza,,,{t1:azure;charges:[{charge:falcon;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Lolafsfjor&population=13332&size=34&seed=8820546000398&river=0&coast=1&farms=0&citadel=1&urban_castle=1&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=0.59
399,Drager,Hvolsda,Hvolsda Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,towns,1338,569.09,466.33,-32,-29.8,144,18°C,Barcelona (Spain),,port,,walls,,,,{t1:gules;ordinaries:[{ordinary:chevronReversed;t:or}];charges:[{charge:wolfRampant;t:argent;p:b;t2:argent;t3:argent;size:0.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Drager&population=1338&size=15&seed=8820546000399&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=0.58
400,Bilfostad,Hvolsda,Hvolsda Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,towns,19429,594.44,482.35,-36.2,-23.17,4,18°C,Barcelona (Spain),,,,walls,,,,{t1:argent;ordinaries:[{ordinary:bend;t:vert;line:straight}];charges:[{charge:talbotPassant;t:or;p:joe;t2:or;t3:or;size:0.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Bilfostad&population=19429&size=40&seed=8820546000400&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
401,Alkut,Namunz,Yemen Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,3112,1083.84,476.92,-34.78,104.88,81,17°C,Lisbon (Portugal),,,,,plaza,,,{t1:argent;charges:[{charge:stirrup;t:azure;p:e;t2:azure;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Alkut&population=3112&size=20&seed=8820546000401&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
402,Yabrah,Namunz,Yemen Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,866,1138.33,477.23,-34.86,119.13,49,18°C,Barcelona (Spain),,,,walls,,,,{t1:sable;division:{division:perFess;t:or;line:engrailed};charges:[{charge:inescutcheon;t:argent;p:jlh;size:0.7};{charge:owl;t:vert;p:jlh;size:0.35}];shield:roman},https://watabou.github.io/city-generator/?name=Yabrah&population=866&size=12&seed=8820546000402&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
403,Opeid,Hvolsda,Hvolsda Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,towns,7129,560.98,498.38,-40.39,-31.93,196,14°C,Washington (D.C.),,,,,plaza,,,{t1:scaly-argent-gules;ordinaries:[{ordinary:bordure;t:vert}];shield:spanish},https://watabou.github.io/city-generator/?name=Opeid&population=7129&size=27&seed=8820546000403&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
404,Khadiyat,Namunz,Yemen Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,3131,1122.02,500.34,-40.9,114.87,49,15°C,Rome (Italy),,,,,plaza,,,{t1:argent;charges:[{charge:crossHummetty;t:sable;p:abcpqh;size:0.5}];shield:roman},https://watabou.github.io/city-generator/?name=Khadiyat&population=3131&size=20&seed=8820546000404&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
405,Krufar,Hvolsda,Hvolsda Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,towns,1927,618.3,505.78,-42.33,-16.93,4,13°C,Milan (Italy),,,,,,,,{t1:or;ordinaries:[{ordinary:chevronReversed;t:gules}];charges:[{charge:pincers;t:gules;p:b;size:0.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Krufar&population=1927&size=17&seed=8820546000405&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
